Name,PDU Name,Make,Model,Cabinet,Depth Position,Cabinet Side,U Position,IP Address,Proxy ID
PDU-1-10L1,,Raritan,,,,,,,
PDU-1-10L2,,Raritan,,,,,,,
PDU-1-10L3,,Raritan,,,,,,,
PDU-1-1L1,,Raritan,,,,,,,
PDU-1-1L3,,Raritan,,,,,,,
PDU-1-2L1,,Raritan,,,,,,,
PDU-1-2L2,,Raritan,,,,,,,
PDU-1-2L3,,Raritan,,,,,,,
PDU-1-3L1,,Raritan,,,,,,,
PDU-1-3L3,,Raritan,,,,,,,
PDU-1-4L2,,Raritan,,,,,,,
PDU-1-5L1,,Raritan,,,,,,,
PDU-1-5L3,,Raritan,,,,,,,
PDU-1-6L1,,Raritan,,,,,,,
PDU-1-6L2,,Raritan,,,,,,,
PDU-1-6L3,,Raritan,,,,,,,
PDU-1-7L1,,Raritan,,,,,,,
PDU-1-7L2,,Raritan,,,,,,,
PDU-1-7L3,,Raritan,,,,,,,
PDU-1-8L2,,Raritan,,,,,,,
PDU-1-9L1,,Raritan,,,,,,,
PDU-1-9L2,,Raritan,,,,,,,
PDU-1-9L3,,Raritan,,,,,,,
PDU-2-10L1,,Raritan,,,,,,,
PDU-2-10L2,,Raritan,,,,,,,
PDU-2-1L1,,Raritan,,,,,,,
PDU-2-1L3,,Raritan,,,,,,,
PDU-2-2L1,,Raritan,,,,,,,
PDU-2-2L2,,Raritan,,,,,,,
PDU-2-2L3,,Raritan,,,,,,,
PDU-2-3L1,,Raritan,,,,,,,
PDU-2-3L3,,Raritan,,,,,,,
PDU-2-4L2,,Raritan,,,,,,,
PDU-2-5L1,,Raritan,,,,,,,
PDU-2-5L3,,Raritan,,,,,,,
PDU-2-6L2,,Raritan,,,,,,,
PDU-2-6L3,,Raritan,,,,,,,
PDU-2-7L1,,Raritan,,,,,,,
PDU-2-7L2,,Raritan,,,,,,,
PDU-2-7L3,,Raritan,,,,,,,
PDU-2-8L2,,Raritan,,,,,,,
PDU-2-9L1,,Raritan,,,,,,,
PDU-2-9L2,,Raritan,,,,,,,
PDU-2-9L3,,Raritan,,,,,,,
